target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,production_scoring_changed,normalization_point
EXPORT_RECURRING_CONSUMER,CONSUMER_RETAIL_BRAND,EXPORT_RECURRING_CONSUMER,GREEN_POSSIBLE,22,23,12,16,13,0,5,export_growth|k_food_or_ramen_viral|capa_expansion|overseas_channel_news,asp_increase|us_europe_shipments|op_eps_revision|target_price_revision,repeat_order|overseas_channel_scale|opm_improvement|fy1_fy2_eps_revision,k_food_rerating_crowded|single_product_story_overpriced|capacity_expansion_priced,recall|food_safety_ban|inventory_build|channel_stuffing|single_product_demand_slowdown,export_growth|recurring_demand|channel_expansion|op_eps_revision|inventory_stable,single_product_dependency|recall|inventory_build|channel_stuffing,false,"K-food Green needs export, repeat demand, channel expansion, OPM, and revision support together."
FOOD_AGRI_LIVESTOCK_CYCLE,CONSUMER_RETAIL_BRAND,FOOD_AGRI_LIVESTOCK_CYCLE,REDTEAM_FIRST,18,10,14,8,8,0,5,feed_cost_change|disease_or_weather_event|food_commodity_price,price_pass_through|cost_relief|inventory_status,repeat_margin|fcf_margin|commodity_cycle_controlled,commodity_food_event_crowded,feed_cost_reversal|disease_normalization|inventory_loss|one_off_price_spike,repeat_margin|cost_pass_through|fcf_margin,one_off_price|commodity_reversal|inventory_loss,false,Food/agri/livestock stays cycle-capped; cost and disease events are not structural evidence by themselves.
RETAIL_CONVENIENCE_OFFLINE,CONSUMER_RETAIL_BRAND,RETAIL_CONVENIENCE_OFFLINE,WATCH_YELLOW_FIRST,18,16,5,13,14,3,5,store_expansion|pb_product_mix|same_store_sales_recovery,store_profitability|opm_improvement|overseas_store_profitability,defensive_recurring_sales|pb_mix|fcf_stability|valuation_frame_improves,store_count_story_crowded|defensive_retail_premium_full,same_store_sales_slowdown|rent_labor_cost_pressure|store_density_competition,same_store_sales|pb_mix|opm_improvement|fcf_stability,store_count_only|labor_cost_pressure|rent_pressure|store_density,false,"Convenience retail can move Watch-to-Green only when store efficiency, not store count, drives OPM and FCF."
RETAIL_ECOMMERCE_LOGISTICS,CONSUMER_RETAIL_BRAND,RETAIL_ECOMMERCE_LOGISTICS,WATCH_YELLOW_FIRST,18,16,5,13,14,3,5,gmv_or_sales_growth|logistics_network_expansion|customer_count_growth,logistics_cost_stability|opm_improvement|fcf_improvement,repeat_customers|cost_leverage|low_regulatory_risk|low_data_security_risk,scale_narrative_crowded,data_breach|supplier_regulation|payment_delay|logistics_cost_increase|fcf_deterioration,repeat_customer_base|logistics_efficiency|fcf_improvement|trust_and_regulation_clean,data_breach|supplier_pressure|payment_delay|trust_damage,false,"E-commerce scale is not Green evidence unless unit economics, FCF, and trust/regulation are clean."
ECOMMERCE_FRESH_LOGISTICS,CONSUMER_RETAIL_BRAND,ECOMMERCE_FRESH_LOGISTICS,WATCH_YELLOW_FIRST,17,15,6,12,10,1,5,fresh_food_delivery_growth|cold_chain_expansion|repeat_order_growth,unit_economics_improvement|waste_rate_control|delivery_cost_control,repeat_order|cold_chain_efficiency|op_fcf_turnaround,fresh_logistics_growth_story_crowded,delivery_cost_increase|waste_rate_spike|delayed_profitability|cash_burn,unit_economics|repeat_orders|waste_rate_control|fcf_path,cash_burn|waste_rate|delivery_cost|profitability_delay,false,Fresh e-commerce must prove unit economics; GMV alone is Stage 1 only.
K_BEAUTY_EXPORT_DISTRIBUTION,CONSUMER_RETAIL_BRAND,K_BEAUTY_EXPORT_DISTRIBUTION,GREEN_POSSIBLE,22,23,12,16,13,0,5,us_japan_export_growth|k_beauty_viral|brand_awareness,sephora_ulta_target_costco_channel|offline_channel_entry|op_eps_revision,sell_through|repeat_orders|opm_improvement|china_dependency_down,k_beauty_group_overheated|indie_brand_valuation_surge,inventory_build|receivables_growth|tariff|china_channel_slowdown|us_channel_slowdown,export_growth|channel_diversification|sell_through|repeat_orders|opm_roe_improvement,tariff|china_dependency|inventory_build|receivables_growth|sell_through_failure,false,"K-beauty Green needs offline sell-through and repeat orders, not just online viral traffic."
BEAUTY_OEM_ODM_SUPPLYCHAIN,CONSUMER_RETAIL_BRAND,BEAUTY_OEM_ODM_SUPPLYCHAIN,GREEN_POSSIBLE,22,23,12,16,13,0,5,global_k_beauty_order_growth|brand_customer_growth,customer_diversification|capacity_utilization|opm_improvement,repeat_orders|overseas_customer_diversification|eps_fcf_bodyweight_change,beauty_supply_chain_premium_crowded,customer_sell_through_slowdown|inventory_build|receivables_growth|customer_concentration,customer_diversification|repeat_orders|capacity_utilization|opm_improvement,inventory_build|receivables_growth|customer_concentration|sell_through_failure,false,Beauty OEM/ODM needs customer diversification and repeat orders; customer inventory risk is a hard gate.
APPAREL_FAST_FASHION_BRAND_OEM,CONSUMER_RETAIL_BRAND,APPAREL_FAST_FASHION_BRAND_OEM,WATCH_YELLOW_FIRST,18,16,8,14,12,0,5,brand_momentum|fast_fashion_growth|oem_order_growth,order_visibility|inventory_turnover|discount_rate_control,repeat_orders|inventory_turnover|brand_pricing_power|opm_improvement,fashion_brand_hype_crowded,ip_litigation|product_safety_regulation|supplier_exclusivity_dispute|inventory_buildup|discount_rate_up,order_visibility|inventory_turnover|discount_rate_control|opm_improvement,ip_litigation|regulatory_enforcement|unsafe_products|inventory_buildup|discounting,false,"Apparel and fast fashion are Watch because inventory, discounting, IP, and regulation can break the thesis."
HOME_LIVING_APPLIANCE_RENTAL,CONSUMER_RETAIL_BRAND,HOME_LIVING_APPLIANCE_RENTAL,WATCH_YELLOW_FIRST,17,15,6,12,10,2,5,rental_accounts_growth|overseas_accounts_growth|new_product_launch,churn_stable|filter_service_recurring_revenue|opm_fcf_improvement,recurring_revenue_over_hardware_cycle|low_churn|service_margin,rental_account_growth_crowded,replacement_demand_slowdown|housing_cycle_down|dividend_suspension|quality_recall,rental_accounts|churn_stable|recurring_service_revenue|fcf_improvement,hardware_cycle|housing_cycle|consumer_sentiment|dividend_cut|quality_recall,false,"Home appliance Green needs recurring rental/service economics, not replacement-cycle hardware sales."
HOME_CHILD_EDUCATION,CONSUMER_RETAIL_BRAND,HOME_CHILD_EDUCATION,REDTEAM_FIRST,16,12,5,10,8,0,5,kids_product_growth|education_or_childcare_theme|household_product_news,recurring_demand|channel_expansion|opm_improvement,subscription_or_repeat_purchase|policy_risk_low|fcf_path,kids_theme_crowded,low_birth_rate_tam_decline|policy_regulation|one_off_product_cycle,recurring_demand|channel_expansion|opm_improvement,low_birth_rate|tam_decline|policy_regulation,false,Kids/home education needs recurring demand and TAM discipline; demographics can cap rerating.
CONSUMER_REGULATED_PRODUCT,CONSUMER_RETAIL_BRAND,CONSUMER_REGULATED_PRODUCT,WATCH_YELLOW_FIRST,18,14,8,12,10,0,5,regulated_consumer_product_approval|new_market_access|policy_change,legal_revenue|distribution_approval|margin_visibility,regulated_market_open|repeat_revenue|low_social_backlash,regulated_product_theme_crowded,license_reversal|social_backlash|product_safety_issue|regulatory_ban,legal_revenue|approval|repeat_revenue|margin_visibility,regulatory_ban|social_backlash|product_safety_issue,false,Regulated consumer products stay Watch until approvals translate into legal recurring revenue.
