raw_theme_tag,normalized_theme_tag,large_sector,primary_archetype,secondary_archetypes,green_policy,must_have_evidence,red_flag_evidence,score_weight_profile,default_stage_bias,query_seed_terms,notes,theme_is_score_input,production_scoring_changed
편의점,편의점,소비재·유통·브랜드,RETAIL_CONVENIENCE_OFFLINE,,watch_to_green,same_store_sales|opm_improvement|inventory_turnover,,RETAIL_CONVENIENCE_OFFLINE,stage2_candidate,편의점,,false,false
손해보험,손해보험,금융·자본배분·디지털금융,INSURANCE_UNDERWRITING_CYCLE,,green_allowed,loss_ratio|csm_or_capital|shareholder_return|credit_risk,,INSURANCE_UNDERWRITING_CYCLE,stage3_possible,손해보험,,false,false
부동산 자산 보유,부동산자산보유,건설·부동산·건자재,HOLDING_RESTRUCTURING_GOVERNANCE,,watch_only,roe|shareholder_return_execution|capital_strength,,HOLDING_RESTRUCTURING_GOVERNANCE,stage1_radar,부동산 자산 보유,,false,false
카지노,카지노,모빌리티·운송·레저,CASINO_DUTYFREE_TOURISM,,watch_only,visitor_mix|drop_or_sales|opm_leverage,,CASINO_DUTYFREE_TOURISM,stage1_radar,카지노,,false,false
종합상사,종합상사,금융·자본배분·디지털금융,HOLDING_RESTRUCTURING_GOVERNANCE,,watch_only,nav_discount|trading_margin|fcf_visibility|shareholder_return_execution,commodity_inventory_loss|governance_discount|one_off_event_premium,HOLDING_RESTRUCTURING_GOVERNANCE,stage1_radar,종합상사,Trading company / holding-like route; Green needs NAV/FCF and capital-allocation evidence.,false,false
라면,라면,소비재·유통·브랜드,EXPORT_RECURRING_CONSUMER,,green_allowed,export_growth|channel_expansion|recurring_demand|fy1_fy2_revision,,EXPORT_RECURRING_CONSUMER,stage3_possible,라면,,false,false
생명보험,생명보험,금융·자본배분·디지털금융,INSURANCE_UNDERWRITING_CYCLE,,watch_to_green,loss_ratio|csm_or_capital|shareholder_return|credit_risk,,INSURANCE_UNDERWRITING_CYCLE,stage2_candidate,생명보험,,false,false
면세점,면세점,모빌리티·운송·레저,CASINO_DUTYFREE_TOURISM,,watch_only,visitor_mix|drop_or_sales|opm_leverage,,CASINO_DUTYFREE_TOURISM,stage1_radar,면세점,,false,false
양돈주,양돈주,농업·생활서비스·기타,AGRI_LIVESTOCK_FOOD_COMMODITY,,red_watch,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme,AGRI_LIVESTOCK_FOOD_COMMODITY,red_team_first,양돈주,,false,false
홈쇼핑,홈쇼핑,소비재·유통·브랜드,RETAIL_CONVENIENCE_OFFLINE,,watch_only,same_store_sales|opm_improvement|inventory_turnover,,RETAIL_CONVENIENCE_OFFLINE,stage1_radar,홈쇼핑,,false,false
음식료,음식료,소비재·유통·브랜드,EXPORT_RECURRING_CONSUMER,,watch_to_green,export_growth|channel_expansion|recurring_demand|fy1_fy2_revision,,EXPORT_RECURRING_CONSUMER,stage2_candidate,음식료,,false,false
태양광,태양광,2차전지·전기차·친환경,SOLAR_TARIFF_SUPPLYCHAIN,,watch_only,tariff_visibility|supply_chain_clearance|subsidy_support|utilization,tariff_delay|customs_hold|subsidy_cut|supply_chain_disruption,SOLAR_TARIFF_SUPPLYCHAIN,stage1_radar,태양광,,false,false
비철금속,비철금속,소재·스프레드·전략자원,NONFERROUS_STRATEGIC_METALS,,watch_only,metal_price|cost_curve|supply_constraint,,NONFERROUS_STRATEGIC_METALS,stage1_radar,비철금속,,false,false
미용기기,미용기기,바이오·헬스케어·의료기기,MEDICAL_DEVICE_HEALTHCARE_EXPORT,,green_allowed,export_growth|consumable_repeat_revenue|regulatory_approval|opm_roe_improvement,,MEDICAL_DEVICE_HEALTHCARE_EXPORT,stage3_possible,미용기기,,false,false
마켓컬리오아시스 관련주,마켓컬리오아시스,소비재·유통·브랜드,ECOMMERCE_FRESH_LOGISTICS,,event_only,unit_economics|repeat_orders|logistics_margin,,ECOMMERCE_FRESH_LOGISTICS,event_only,마켓컬리오아시스 관련주,,false,false
타이어,타이어,모빌리티·운송·레저,TIRE_AUTO_COMPONENT_SPREAD,,watch_to_green,oe_re_mix|asp|raw_material_spread|customer_diversification,raw_material_inflation|factory_disruption|customer_concentration|auto_demand_slowdown,TIRE_AUTO_COMPONENT_SPREAD,stage2_candidate,타이어,,false,false
대형 건설사,대형건설사,건설·부동산·건자재,CONSTRUCTION_REAL_ESTATE_CREDIT,,red_watch,pf_exposure|cash_flow|credit_risk,,CONSTRUCTION_REAL_ESTATE_CREDIT,red_team_first,대형 건설사,,false,false
항공사,항공사,모빌리티·운송·레저,AIRLINE_TRAVEL_CYCLE,,watch_only,traffic_recovery|yield_or_margin|cost_risk,,AIRLINE_TRAVEL_CYCLE,stage1_radar,항공사,,false,false
K-푸드,k푸드,소비재·유통·브랜드,EXPORT_RECURRING_CONSUMER,,green_allowed,export_growth|channel_expansion|recurring_demand|fy1_fy2_revision,,EXPORT_RECURRING_CONSUMER,stage3_possible,K-푸드,,false,false
화학,화학,소재·스프레드·전략자원,CHEMICAL_SPREAD,,red_watch,product_spread|inventory_status|capacity_discipline,,CHEMICAL_SPREAD,red_team_first,화학,,false,false
야놀자 관련주,야놀자,모빌리티·운송·레저,TRAVEL_LEISURE_REOPENING,,event_only,traffic_recovery|yield_or_margin|cost_risk,,TRAVEL_LEISURE_REOPENING,event_only,야놀자 관련주,,false,false
NFT,nft,플랫폼·콘텐츠·SW·보안,METAVERSE_NFT_THEME,,red_flag,revenue_conversion|user_monetization|regulatory_risk,,METAVERSE_NFT_THEME,stage3_red_bias,NFT,,false,false
밸류업 지수 편입,밸류업지수편입,금융·자본배분·디지털금융,VALUE_UP_SHAREHOLDER_RETURN,,watch_only,roe|shareholder_return_execution|capital_strength,,VALUE_UP_SHAREHOLDER_RETURN,stage1_radar,밸류업 지수 편입,,false,false
금융지주회사,금융지주회사,금융·자본배분·디지털금융,FINANCIAL_SPREAD_BALANCE_SHEET,,green_allowed,roe|pbr|capital_ratio|credit_cost,,FINANCIAL_SPREAD_BALANCE_SHEET,stage3_possible,금융지주회사,,false,false
2차전지 소재,2차전지소재,2차전지·전기차·친환경,BATTERY_MATERIALS_CAPEX_OVERHEAT,,watch_only,contract_quality|price_pass_through|demand_visibility|fcf_after_capex,,BATTERY_MATERIALS_CAPEX_OVERHEAT,stage1_radar,2차전지 소재,,false,false
대두,대두,농업·생활서비스·기타,AGRI_LIVESTOCK_FOOD_COMMODITY,,event_only,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme,AGRI_LIVESTOCK_FOOD_COMMODITY,event_only,대두,,false,false
건강기능식품,건강기능식품,소비재·유통·브랜드,EXPORT_RECURRING_CONSUMER,,watch_to_green,export_growth|channel_expansion|recurring_demand|fy1_fy2_revision,,EXPORT_RECURRING_CONSUMER,stage2_candidate,건강기능식품,,false,false
은행,은행,금융·자본배분·디지털금융,FINANCIAL_SPREAD_BALANCE_SHEET,,green_allowed,roe|pbr|capital_ratio|credit_cost,,FINANCIAL_SPREAD_BALANCE_SHEET,stage3_possible,은행,,false,false
화장품 원재료 및 부자재,화장품원재료부자재,소비재·유통·브랜드,BEAUTY_OEM_ODM_SUPPLYCHAIN,,watch_to_green,customer_diversification|capacity_utilization|margin_visibility,,BEAUTY_OEM_ODM_SUPPLYCHAIN,stage2_candidate,화장품 원재료 및 부자재,,false,false
화장품 OEM-ODM,화장품oemodm,소비재·유통·브랜드,BEAUTY_OEM_ODM_SUPPLYCHAIN,,green_allowed,customer_diversification|capacity_utilization|margin_visibility,,BEAUTY_OEM_ODM_SUPPLYCHAIN,stage3_possible,화장품 OEM-ODM,,false,false
엔터,엔터,플랫폼·콘텐츠·SW·보안,GAME_CONTENT_IP,,watch_only,ip_repeatability|global_revenue|op_eps_revision,,GAME_CONTENT_IP,stage1_radar,엔터,,false,false
스테이블코인,스테이블코인,금융·자본배분·디지털금융,DIGITAL_ASSET_TOKENIZATION,,watch_only,regulated_revenue|license_or_partner|cash_flow,,DIGITAL_ASSET_TOKENIZATION,stage1_radar,스테이블코인,,false,false
여행-레저,여행레저,모빌리티·운송·레저,TRAVEL_LEISURE_REOPENING,,watch_only,traffic_recovery|yield_or_margin|cost_risk,,TRAVEL_LEISURE_REOPENING,stage1_radar,여행-레저,,false,false
게임,게임,플랫폼·콘텐츠·SW·보안,GAME_CONTENT_IP,,watch_only,ip_repeatability|global_revenue|op_eps_revision,,GAME_CONTENT_IP,stage1_radar,게임,,false,false
엠폭스,엠폭스,정책·지정학·재난·이벤트,EVENT_DISEASE_PEST_DEMAND,,event_only,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff,EVENT_DISEASE_PEST_DEMAND,event_only,엠폭스,,false,false
탄소배출권,탄소배출권,2차전지·전기차·친환경,RENEWABLE_ENERGY_POLICY,,event_only,tariff_or_policy|project_backlog|margin_visibility,,RENEWABLE_ENERGY_POLICY,event_only,탄소배출권,,false,false
탈모치료,탈모치료,바이오·헬스케어·의료기기,BIOTECH_PRE_REVENUE_REGULATORY,,red_watch,clinical_milestone|cash_runway|dilution_risk,,BIOTECH_PRE_REVENUE_REGULATORY,red_team_first,탈모치료,,false,false
음식료-유통,음식료유통,소비재·유통·브랜드,EXPORT_RECURRING_CONSUMER,,watch_only,export_growth|channel_expansion|recurring_demand|fy1_fy2_revision,,EXPORT_RECURRING_CONSUMER,stage1_radar,음식료-유통,,false,false
퓨리오사AI 관련주,퓨리오사ai,AI·반도체·전자부품,AI_CHIP_FABRIC_INFRA,,event_only,direct_exposure|orders_or_revenue|revision_support,,AI_CHIP_FABRIC_INFRA,event_only,퓨리오사AI 관련주,,false,false
LNG 발전유통,lng발전유통,2차전지·전기차·친환경,ENERGY_DISTRIBUTION_FUEL,,watch_only,spread|inventory_status|demand_visibility,,ENERGY_DISTRIBUTION_FUEL,stage1_radar,LNG 발전유통,,false,false
화재,화재,금융·자본배분·디지털금융,INSURANCE_UNDERWRITING_CYCLE,,watch_only,loss_ratio|csm_or_capital|shareholder_return|credit_risk,,INSURANCE_UNDERWRITING_CYCLE,stage1_radar,화재,,false,false
결제서비스,결제서비스,금융·자본배분·디지털금융,PAYMENT_FINTECH_INFRA,,watch_to_green,transaction_volume|take_rate|regulatory_risk,,PAYMENT_FINTECH_INFRA,stage2_candidate,결제서비스,,false,false
건자재,건자재,건설·부동산·건자재,BUILDING_MATERIALS_CYCLE,,watch_only,price_hike|volume|cost_spread|housing_cycle,,BUILDING_MATERIALS_CYCLE,stage1_radar,건자재,,false,false
메타버스,메타버스,플랫폼·콘텐츠·SW·보안,METAVERSE_NFT_THEME,,red_watch,revenue_conversion|user_monetization|regulatory_risk,,METAVERSE_NFT_THEME,red_team_first,메타버스,,false,false
반도체-HBM,반도체hbm,AI·반도체·전자부품,MEMORY_HBM_CAPACITY,,green_allowed,memory_price|hbm_demand|supply_discipline|medium_term_revision,,MEMORY_HBM_CAPACITY,stage3_possible,반도체-HBM,,false,false
철강 주요업체,철강주요업체,소재·스프레드·전략자원,STEEL_METAL_SPREAD,,watch_only,steel_spread|china_supply|inventory_status,,STEEL_METAL_SPREAD,stage1_radar,철강 주요업체,,false,false
콜드체인,콜드체인,소비재·유통·브랜드,ECOMMERCE_FRESH_LOGISTICS,,watch_to_green,unit_economics|repeat_orders|logistics_margin,,ECOMMERCE_FRESH_LOGISTICS,stage2_candidate,콜드체인,,false,false
탈 플라스틱,탈플라스틱,2차전지·전기차·친환경,RENEWABLE_ENERGY_POLICY,,watch_only,tariff_or_policy|project_backlog|margin_visibility,,RENEWABLE_ENERGY_POLICY,stage1_radar,탈 플라스틱,,false,false
의류소재,의류소재,소비재·유통·브랜드,APPAREL_BRAND_OEM,,watch_only,order_visibility|brand_momentum|inventory_status,,APPAREL_BRAND_OEM,stage1_radar,의류소재,,false,false
건자재-철근,건자재철근,소재·스프레드·전략자원,STEEL_METAL_SPREAD,,watch_only,steel_spread|china_supply|inventory_status,,STEEL_METAL_SPREAD,stage1_radar,건자재-철근,,false,false
금강산 관광,금강산관광,정책·지정학·재난·이벤트,NORTH_KOREA_POLICY_EVENT,,event_only,binding_policy|funded_project|revenue_visibility,,NORTH_KOREA_POLICY_EVENT,event_only,금강산 관광,,false,false
LED,led,AI·반도체·전자부품,ELECTRONIC_COMPONENTS,,watch_only,customer_diversification|content_growth|margin_improvement,,ELECTRONIC_COMPONENTS,stage1_radar,LED,,false,false
인쇄회로기판(PCB),인쇄회로기판pcb,AI·반도체·전자부품,ADVANCED_PACKAGING_PCB,,watch_only,ai_server_demand|order_visibility|capacity_constraint|op_eps_revision,,ADVANCED_PACKAGING_PCB,stage1_radar,인쇄회로기판(PCB),,false,false
배합사료,배합사료,농업·생활서비스·기타,AGRI_LIVESTOCK_FOOD_COMMODITY,,watch_only,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme,AGRI_LIVESTOCK_FOOD_COMMODITY,stage1_radar,배합사료,,false,false
유가 상승 수혜-윤활유,유가상승수혜윤활유,2차전지·전기차·친환경,ENERGY_DISTRIBUTION_FUEL,,watch_only,spread|inventory_status|demand_visibility,,ENERGY_DISTRIBUTION_FUEL,stage1_radar,유가 상승 수혜-윤활유,,false,false
부동산-개발신탁리츠,부동산개발신탁리츠,건설·부동산·건자재,REIT_DEVELOPMENT_TRUST,,watch_only,nav_discount|cash_yield|debt_cost,,REIT_DEVELOPMENT_TRUST,stage1_radar,부동산-개발신탁리츠,,false,false
폐배터리,폐배터리,2차전지·전기차·친환경,BATTERY_RECYCLING_ESS_SHIFT,,watch_only,ess_demand|recycling_volume|utilization_improvement|fcf_after_capex,ev_headline_only|mineral_price_dependency|recycling_volume_absent|margin_unclear,BATTERY_RECYCLING_ESS_SHIFT,stage1_radar,폐배터리,,false,false
OLED-소재부품,oled소재부품,AI·반도체·전자부품,DISPLAY_OLED_EQUIPMENT,,watch_only,panel_capex|orders|margin_visibility,,DISPLAY_OLED_EQUIPMENT,stage1_radar,OLED-소재부품,,false,false
의류 브랜드,의류브랜드,소비재·유통·브랜드,APPAREL_BRAND_OEM,,watch_only,order_visibility|brand_momentum|inventory_status,,APPAREL_BRAND_OEM,stage1_radar,의류 브랜드,,false,false
화장품 브랜드,화장품브랜드,소비재·유통·브랜드,K_BEAUTY_EXPORT_DISTRIBUTION,,green_allowed,export_growth|channel_diversification|repeat_orders|opm_roe_improvement,,K_BEAUTY_EXPORT_DISTRIBUTION,stage3_possible,화장품 브랜드,,false,false
제지,제지,소재·스프레드·전략자원,PAPER_PACKAGING,,watch_only,paper_spread|demand_visibility|cost_pass_through,,PAPER_PACKAGING,stage1_radar,제지,,false,false
전기차-인프라,전기차인프라,2차전지·전기차·친환경,EV_INFRASTRUCTURE,,watch_only,utilization|policy_support|recurring_revenue,,EV_INFRASTRUCTURE,stage1_radar,전기차-인프라,,false,false
LPG,lpg,2차전지·전기차·친환경,ENERGY_DISTRIBUTION_FUEL,,watch_only,spread|inventory_status|demand_visibility,,ENERGY_DISTRIBUTION_FUEL,stage1_radar,LPG,,false,false
CCTV,cctv,플랫폼·콘텐츠·SW·보안,SECURITY_IDENTITY_DEEPFAKE,,watch_only,recurring_contract|security_demand|regulatory_demand|op_eps_revision,theme_only_security|budget_cut|churn|no_recurring_revenue,SECURITY_IDENTITY_DEEPFAKE,stage1_radar,CCTV,,false,false
전기차 화재,전기차화재,2차전지·전기차·친환경,BATTERY_RECYCLING_ESS_SHIFT,,red_flag,ess_demand|recycling_volume|utilization_improvement|fcf_after_capex,ev_headline_only|mineral_price_dependency|recycling_volume_absent|margin_unclear,BATTERY_RECYCLING_ESS_SHIFT,stage3_red_bias,전기차 화재,,false,false
반도체-디스플레이-클린룸,반도체디스플레이클린룸,산업재·수주·인프라,AI_DATA_CENTER_INFRASTRUCTURE,,watch_only,confirmed_order|data_center_capex|capacity_bottleneck|op_eps_revision,,AI_DATA_CENTER_INFRASTRUCTURE,stage1_radar,반도체-디스플레이-클린룸,,false,false
스마트폰 부품-소재,스마트폰부품소재,AI·반도체·전자부품,ELECTRONIC_COMPONENTS,,watch_only,customer_diversification|content_growth|margin_improvement,,ELECTRONIC_COMPONENTS,stage1_radar,스마트폰 부품-소재,,false,false
참치 원양어업,참치원양어업,소비재·유통·브랜드,FOOD_AGRI_LIVESTOCK_CYCLE,,watch_only,commodity_cycle|feed_cost|inventory_status,,FOOD_AGRI_LIVESTOCK_CYCLE,stage1_radar,참치 원양어업,,false,false
수소차-연료전지,수소차연료전지,2차전지·전기차·친환경,HYDROGEN_FUEL_CELL_INFRA,,watch_to_green,commercial_revenue|production_capacity|customer_demand|cost_curve,policy_dependency|no_revenue|utilization_down|project_delay,HYDROGEN_FUEL_CELL_INFRA,stage2_candidate,수소차-연료전지,,false,false
폐기물처리,폐기물처리,교육·생활서비스·농수축산,WASTE_RECYCLING_ENVIRONMENT,,watch_only,regulated_demand|capacity_utilization|margin_visibility,,WASTE_RECYCLING_ENVIRONMENT,stage1_radar,폐기물처리,,false,false
보툴리눔 톡신,보툴리눔톡신,바이오·헬스케어·의료기기,MEDICAL_DEVICE_HEALTHCARE_EXPORT,,watch_only,export_growth|consumable_repeat_revenue|regulatory_approval|opm_roe_improvement,,MEDICAL_DEVICE_HEALTHCARE_EXPORT,stage1_radar,보툴리눔 톡신,,false,false
골판지,골판지,소재·스프레드·전략자원,PAPER_PACKAGING,,watch_only,paper_spread|demand_visibility|cost_pass_through,,PAPER_PACKAGING,stage1_radar,골판지,,false,false
미디어 컨텐츠,미디어콘텐츠,플랫폼·콘텐츠·SW·보안,GAME_CONTENT_IP,,watch_only,ip_repeatability|global_revenue|op_eps_revision,,GAME_CONTENT_IP,stage1_radar,미디어 컨텐츠,,false,false
렌터카-중고차,렌터카중고차,모빌리티·운송·레저,RENTAL_USED_CAR_MOBILITY,,watch_only,fleet_margin|residual_value|demand_visibility,,RENTAL_USED_CAR_MOBILITY,stage1_radar,렌터카-중고차,,false,false
키즈,키즈,소비재·유통·브랜드,HOME_LIVING_APPLIANCE,,watch_only,repeat_demand|channel_expansion|margin_visibility,,HOME_LIVING_APPLIANCE,stage1_radar,키즈,,false,false
바이오-이중항체,바이오이중항체,바이오·헬스케어·의료기기,BIOTECH_ROYALTY_COMMERCIALIZATION,,watch_only,approval|partner_launch|royalty_or_revenue,,BIOTECH_ROYALTY_COMMERCIALIZATION,stage1_radar,바이오-이중항체,,false,false
STO,sto,금융·자본배분·디지털금융,DIGITAL_ASSET_TOKENIZATION,,watch_only,regulated_revenue|license_or_partner|cash_flow,,DIGITAL_ASSET_TOKENIZATION,stage1_radar,STO,,false,false
카메라,카메라,모빌리티·운송·레저,AUTO_MOBILITY_COMPONENTS,,watch_only,customer_diversification|content_growth|margin_improvement,,AUTO_MOBILITY_COMPONENTS,stage1_radar,카메라,,false,false
마이크로바이옴,마이크로바이옴,바이오·헬스케어·의료기기,DIGITAL_HEALTHCARE_AI,,watch_only,reimbursement_or_contract|recurring_revenue|regulatory_clearance,,DIGITAL_HEALTHCARE_AI,stage1_radar,마이크로바이옴,,false,false
증권사,증권사,금융·자본배분·디지털금융,SECURITIES_BROKERAGE_CYCLE,,watch_only,brokerage_cycle|ib_pipeline|capital_risk,,SECURITIES_BROKERAGE_CYCLE,stage1_radar,증권사,,false,false
전자담배,전자담배,농업·생활서비스·기타,CONSUMER_REGULATED_PRODUCT,,watch_only,regulated_revenue|repeat_demand|margin_visibility|compliance_record,regulatory_change|tax_hike|youth_access_risk|one_product_event,CONSUMER_REGULATED_PRODUCT,stage1_radar,전자담배,Regulated consumer products stay Watch until repeat demand and compliance economics are visible.,false,false
스마트홈,스마트홈,소비재·유통·브랜드,HOME_LIVING_APPLIANCE,,watch_only,repeat_demand|channel_expansion|margin_visibility,,HOME_LIVING_APPLIANCE,stage1_radar,스마트홈,,false,false
피지컬AI,피지컬ai,플랫폼·콘텐츠·SW·보안,ROBOTICS_FACTORY_AUTOMATION,,watch_only,customer_adoption|revenue_conversion|opm_improvement|repeat_revenue,tam_only|mou_poc_only|no_revenue|high_valuation_ipo,ROBOTICS_FACTORY_AUTOMATION,stage1_radar,피지컬AI,,false,false
치아-임플란트,치아임플란트,바이오·헬스케어·의료기기,MEDICAL_DEVICE_HEALTHCARE_EXPORT,,green_allowed,export_growth|consumable_repeat_revenue|regulatory_approval|opm_roe_improvement,,MEDICAL_DEVICE_HEALTHCARE_EXPORT,stage3_possible,치아-임플란트,,false,false
방송-언론,방송언론,플랫폼·콘텐츠·SW·보안,GAME_CONTENT_IP,,watch_only,ip_repeatability|global_revenue|op_eps_revision,,GAME_CONTENT_IP,stage1_radar,방송-언론,,false,false
바이오시밀러,바이오시밀러,바이오·헬스케어·의료기기,CDMO_HEALTHCARE_CONTRACT,,watch_to_green,long_term_contract|capacity_utilization|customer_diversification|fcf_conversion,,CDMO_HEALTHCARE_CONTRACT,stage2_candidate,바이오시밀러,,false,false
치매치료,치매치료,바이오·헬스케어·의료기기,BIOTECH_PRE_REVENUE_REGULATORY,,red_watch,clinical_milestone|cash_runway|dilution_risk,,BIOTECH_PRE_REVENUE_REGULATORY,red_team_first,치매치료,,false,false
고배당주,고배당주,금융·자본배분·디지털금융,VALUE_UP_SHAREHOLDER_RETURN,,watch_to_green,roe|shareholder_return_execution|capital_strength,,VALUE_UP_SHAREHOLDER_RETURN,stage2_candidate,고배당주,,false,false
마리화나,마리화나,바이오·헬스케어·의료기기,CANNABIS_REGULATED_HEALTH,,watch_only,legal_revenue|regulatory_approval|cash_flow,,CANNABIS_REGULATED_HEALTH,stage1_radar,마리화나,,false,false
드론-플라잉카,드론플라잉카,모빌리티·운송·레저,URBAN_AIR_DRONE,,red_watch,government_or_commercial_order|revenue_conversion|regulatory_approval,,URBAN_AIR_DRONE,red_team_first,드론-플라잉카,,false,false
유전체검사,유전체검사,바이오·헬스케어·의료기기,DIGITAL_HEALTHCARE_AI,,watch_only,reimbursement_or_contract|recurring_revenue|regulatory_clearance,,DIGITAL_HEALTHCARE_AI,stage1_radar,유전체검사,,false,false
비철금속-리튬,비철금속리튬,소재·스프레드·전략자원,NONFERROUS_STRATEGIC_METALS,,watch_only,metal_price|cost_curve|supply_constraint,,NONFERROUS_STRATEGIC_METALS,stage1_radar,비철금속-리튬,,false,false
폭염,폭염,건설·부동산·건자재,DISASTER_REBUILD_EVENT,,watch_only,actual_order|repeat_demand|margin_visibility,,DISASTER_REBUILD_EVENT,stage1_radar,폭염,,false,false
클라우드 컴퓨팅,클라우드컴퓨팅,플랫폼·콘텐츠·SW·보안,CLOUD_AI_SOFTWARE_INFRA,,watch_to_green,recurring_revenue|paid_usage|arpu|opm_leverage,mau_without_monetization|ai_cost_overrun|regulatory_risk|churn,CLOUD_AI_SOFTWARE_INFRA,stage2_candidate,클라우드 컴퓨팅,,false,false
무선충전,무선충전,AI·반도체·전자부품,ELECTRONIC_COMPONENTS,,red_watch,customer_diversification|content_growth|margin_improvement,,ELECTRONIC_COMPONENTS,red_team_first,무선충전,,false,false
난임,난임,바이오·헬스케어·의료기기,BIOTECH_ROYALTY_COMMERCIALIZATION,,watch_only,approval|partner_launch|royalty_or_revenue,,BIOTECH_ROYALTY_COMMERCIALIZATION,stage1_radar,난임,,false,false
초전도체,초전도체,정책·지정학·재난·이벤트,SPECULATIVE_SCIENCE_THEME,,red_flag,commercial_revenue|contract_or_order|technical_validation,,SPECULATIVE_SCIENCE_THEME,stage3_red_bias,초전도체,,false,false
밥솥,밥솥,소비재·유통·브랜드,HOME_LIVING_APPLIANCE,,watch_only,repeat_demand|channel_expansion|margin_visibility,,HOME_LIVING_APPLIANCE,stage1_radar,밥솥,,false,false
교육,교육,농업·생활서비스·기타,EDUCATION_SPECIALTY_SERVICES,,watch_only,enrollment_or_user_growth|opm_leverage|policy_risk,,EDUCATION_SPECIALTY_SERVICES,stage1_radar,교육,,false,false
벤처캐피탈,벤처캐피탈,금융·자본배분·디지털금융,SECURITIES_BROKERAGE_CYCLE,,watch_only,brokerage_cycle|ib_pipeline|capital_risk,,SECURITIES_BROKERAGE_CYCLE,stage1_radar,벤처캐피탈,,false,false
주정,주정,소재·스프레드·전략자원,CHEMICAL_SPREAD,,watch_only,product_spread|inventory_status|capacity_discipline,,CHEMICAL_SPREAD,stage1_radar,주정,,false,false
AI 신약개발,ai신약개발,바이오·헬스케어·의료기기,BIOTECH_PRE_REVENUE_REGULATORY,,red_watch,clinical_milestone|cash_runway|dilution_risk,,BIOTECH_PRE_REVENUE_REGULATORY,red_team_first,AI 신약개발,,false,false
중소형 건설사,중소형건설사,건설·부동산·건자재,CONSTRUCTION_REAL_ESTATE_CREDIT,,red_watch,pf_exposure|cash_flow|credit_risk,,CONSTRUCTION_REAL_ESTATE_CREDIT,red_team_first,중소형 건설사,,false,false
비만 치료제,비만치료제,바이오·헬스케어·의료기기,BIOTECH_ROYALTY_COMMERCIALIZATION,,watch_only,approval|partner_launch|royalty_or_revenue,,BIOTECH_ROYALTY_COMMERCIALIZATION,stage1_radar,비만 치료제,,false,false
시스템반도체,시스템반도체,AI·반도체·전자부품,AI_CHIP_FABRIC_INFRA,,watch_to_green,direct_exposure|orders_or_revenue|revision_support,,AI_CHIP_FABRIC_INFRA,stage2_candidate,시스템반도체,,false,false
