symbol,company_name,as_of_date,layer,stage,rank,score,candidate_source_path,date_verified_documents,date_unverified_documents,rejected_future_documents,web_only_stage,merged_stage,web_only_score,merged_score,promotion_delta
298040,효성중공업,2023-06-01,deep_research,1,1,62.1937,official_cheap_scan,8,0,0,1,1,34.4437,62.1937,unchanged
298040,효성중공업,2023-07-01,event_search,1,1,62.1937,official_cheap_scan,8,0,0,1,1,34.4437,62.1937,unchanged
267260,HD현대일렉트릭,2023-08-01,deep_research,2,1,65.5219,official_cheap_scan,8,0,0,1,2,28.8475,65.5219,1_to_2
298040,효성중공업,2023-08-01,event_search,1,2,62.1937,official_cheap_scan,8,0,0,1,1,34.4437,62.1937,unchanged
247540,에코프로비엠,2023-08-01,event_search,1,3,0.0,official_cheap_scan,0,0,3,0,1,0.0,0.0,0_to_1
267260,HD현대일렉트릭,2023-09-01,deep_research,2,1,65.5219,official_cheap_scan,8,0,0,1,2,28.8475,65.5219,1_to_2
298040,효성중공업,2023-09-01,event_search,1,2,62.1937,official_cheap_scan,8,0,0,1,1,34.4437,62.1937,unchanged
247540,에코프로비엠,2023-09-01,event_search,1,3,0.0,official_cheap_scan,0,0,3,0,1,0.0,0.0,0_to_1
267260,HD현대일렉트릭,2023-10-01,event_search,2,1,65.5219,official_cheap_scan,8,0,0,1,2,28.8475,65.5219,1_to_2
298040,효성중공업,2023-10-01,event_search,1,2,62.1937,official_cheap_scan,8,0,0,1,1,34.4437,62.1937,unchanged
247540,에코프로비엠,2023-10-01,event_search,1,3,0.0,official_cheap_scan,0,0,3,0,1,0.0,0.0,0_to_1
267260,HD현대일렉트릭,2023-11-01,event_search,2,1,65.5219,official_cheap_scan,8,0,0,1,2,28.8475,65.5219,1_to_2
298040,효성중공업,2023-11-01,event_search,1,2,62.1937,official_cheap_scan,8,0,0,1,1,34.4437,62.1937,unchanged
247540,에코프로비엠,2023-11-01,event_search,1,3,0.0,official_cheap_scan,0,0,3,0,1,0.0,0.0,0_to_1
103590,일진전기,2023-12-01,deep_research,2,1,65.547,official_cheap_scan,8,0,0,1,2,37.797,65.547,1_to_2
267260,HD현대일렉트릭,2023-12-01,event_search,2,2,65.5219,official_cheap_scan,8,0,0,1,2,28.8475,65.5219,1_to_2
298040,효성중공업,2023-12-01,event_search,1,3,62.1937,official_cheap_scan,8,0,0,1,1,34.4437,62.1937,unchanged
247540,에코프로비엠,2023-12-01,event_search,1,4,0.0,official_cheap_scan,1,0,2,0,1,0.0,0.0,0_to_1
103590,일진전기,2024-01-01,deep_research,2,1,65.547,official_cheap_scan,8,0,0,1,2,37.797,65.547,1_to_2
267260,HD현대일렉트릭,2024-01-01,event_search,2,2,65.5219,official_cheap_scan,8,0,0,1,2,28.8475,65.5219,1_to_2
298040,효성중공업,2024-01-01,event_search,1,3,62.1937,official_cheap_scan,8,0,0,1,1,34.4437,62.1937,unchanged
247540,에코프로비엠,2024-01-01,event_search,1,4,0.0,official_cheap_scan,1,0,2,0,1,0.0,0.0,0_to_1
267260,HD현대일렉트릭,2024-02-01,event_search,2,1,65.5219,official_cheap_scan,8,0,0,1,2,28.8475,65.5219,1_to_2
298040,효성중공업,2024-02-01,event_search,1,2,62.1937,official_cheap_scan,8,0,0,1,1,34.4437,62.1937,unchanged
247540,에코프로비엠,2024-02-01,event_search,1,3,0.0,official_cheap_scan,1,0,2,0,1,0.0,0.0,0_to_1
103590,일진전기,2024-02-01,event_search,2,4,65.547,official_cheap_scan,8,0,0,1,2,37.797,65.547,1_to_2
267260,HD현대일렉트릭,2024-03-01,event_search,2,1,65.5219,official_cheap_scan,8,0,0,1,2,28.8475,65.5219,1_to_2
298040,효성중공업,2024-03-01,event_search,1,2,62.1937,official_cheap_scan,8,0,0,1,1,34.4437,62.1937,unchanged
247540,에코프로비엠,2024-03-01,event_search,1,3,0.0,official_cheap_scan,1,0,2,0,1,0.0,0.0,0_to_1
103590,일진전기,2024-03-01,event_search,2,4,65.547,official_cheap_scan,8,0,0,1,2,37.797,65.547,1_to_2
267260,HD현대일렉트릭,2024-04-01,event_search,2,1,65.5219,official_cheap_scan,8,0,0,1,2,28.8475,65.5219,1_to_2
298040,효성중공업,2024-04-01,event_search,1,2,62.1937,official_cheap_scan,8,0,0,1,1,34.4437,62.1937,unchanged
000660,SK하이닉스,2024-04-01,event_search,1,3,19.58,official_cheap_scan,1,0,2,0,1,0.0,19.58,0_to_1
005930,삼성전자,2024-04-01,event_search,1,4,17.08,official_cheap_scan,1,0,2,0,1,0.0,17.08,0_to_1
247540,에코프로비엠,2024-04-01,event_search,1,5,0.0,official_cheap_scan,1,0,2,0,1,0.0,0.0,0_to_1
103590,일진전기,2024-04-01,event_search,2,6,65.547,official_cheap_scan,8,0,0,1,2,37.797,65.547,1_to_2
000660,SK하이닉스,2024-05-01,event_search,1,1,20.08,official_cheap_scan,1,0,2,0,1,0.0,20.08,0_to_1
267260,HD현대일렉트릭,2024-05-01,event_search,2,2,65.5219,official_cheap_scan,8,0,0,1,2,28.8475,65.5219,1_to_2
247540,에코프로비엠,2024-05-01,event_search,1,3,0.0,official_cheap_scan,1,0,2,0,1,0.0,0.0,0_to_1
103590,일진전기,2024-05-01,event_search,2,4,65.547,official_cheap_scan,8,0,0,1,2,37.797,65.547,1_to_2
003230,삼양식품,2024-06-01,deep_research,1,1,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
000660,SK하이닉스,2024-06-01,event_search,1,2,20.08,official_cheap_scan,2,0,1,0,1,0.0,20.08,0_to_1
267260,HD현대일렉트릭,2024-06-01,event_search,2,3,65.5219,official_cheap_scan,8,0,0,1,2,28.8475,65.5219,1_to_2
247540,에코프로비엠,2024-06-01,event_search,1,4,0.0,official_cheap_scan,2,0,1,0,1,0.0,0.0,0_to_1
257720,실리콘투,2024-06-01,event_search,0,5,0.0,official_cheap_scan,2,0,1,0,0,0.0,0.0,unchanged
103590,일진전기,2024-06-01,event_search,2,6,65.547,official_cheap_scan,8,0,0,1,2,37.797,65.547,1_to_2
000660,SK하이닉스,2024-07-01,event_search,1,1,20.08,official_cheap_scan,2,0,1,0,1,0.0,20.08,0_to_1
003230,삼양식품,2024-07-01,event_search,1,2,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
257720,실리콘투,2024-07-01,event_search,0,3,0.0,official_cheap_scan,2,0,1,0,0,0.0,0.0,unchanged
103590,일진전기,2024-07-01,event_search,2,4,65.547,official_cheap_scan,8,0,0,1,2,37.797,65.547,1_to_2
012450,한화에어로스페이스,2024-08-01,deep_research,1,1,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
000660,SK하이닉스,2024-08-01,event_search,1,2,20.08,official_cheap_scan,2,0,1,0,1,0.0,20.08,0_to_1
003230,삼양식품,2024-08-01,event_search,1,3,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
103590,일진전기,2024-08-01,event_search,2,4,65.547,official_cheap_scan,8,0,0,1,2,37.797,65.547,1_to_2
257720,실리콘투,2024-08-01,event_search,0,5,0.0,official_cheap_scan,2,0,1,0,0,0.0,0.0,unchanged
012450,한화에어로스페이스,2024-09-01,deep_research,1,1,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
000660,SK하이닉스,2024-09-01,event_search,1,2,20.08,official_cheap_scan,2,0,1,0,1,0.0,20.08,0_to_1
003230,삼양식품,2024-09-01,event_search,1,3,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
103590,일진전기,2024-09-01,event_search,2,4,65.547,official_cheap_scan,8,0,0,1,2,37.797,65.547,1_to_2
257720,실리콘투,2024-09-01,event_search,0,5,0.0,official_cheap_scan,2,0,1,0,0,0.0,0.0,unchanged
000660,SK하이닉스,2024-10-01,event_search,1,1,20.08,official_cheap_scan,2,0,1,0,1,0.0,20.08,0_to_1
003230,삼양식품,2024-10-01,event_search,1,2,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
103590,일진전기,2024-10-01,event_search,2,3,65.547,official_cheap_scan,8,0,0,1,2,37.797,65.547,1_to_2
257720,실리콘투,2024-10-01,event_search,0,4,0.0,official_cheap_scan,2,0,1,0,0,0.0,0.0,unchanged
012450,한화에어로스페이스,2024-10-01,event_search,1,5,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
000660,SK하이닉스,2024-11-01,event_search,1,1,20.08,official_cheap_scan,2,0,1,0,1,0.0,20.08,0_to_1
003230,삼양식품,2024-11-01,event_search,1,2,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
257720,실리콘투,2024-11-01,event_search,0,3,0.0,official_cheap_scan,2,0,1,0,0,0.0,0.0,unchanged
012450,한화에어로스페이스,2024-11-01,event_search,1,4,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
000660,SK하이닉스,2024-12-01,event_search,1,1,20.08,official_cheap_scan,2,0,1,0,1,0.0,20.08,0_to_1
003230,삼양식품,2024-12-01,event_search,1,2,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
257720,실리콘투,2024-12-01,event_search,0,3,0.0,official_cheap_scan,2,0,1,0,0,0.0,0.0,unchanged
012450,한화에어로스페이스,2024-12-01,event_search,1,4,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
000660,SK하이닉스,2025-01-01,event_search,1,1,20.08,official_cheap_scan,2,0,1,0,1,0.0,20.08,0_to_1
003230,삼양식품,2025-01-01,event_search,1,2,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
257720,실리콘투,2025-01-01,event_search,0,3,0.0,official_cheap_scan,2,0,1,0,0,0.0,0.0,unchanged
012450,한화에어로스페이스,2025-01-01,event_search,1,4,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
000660,SK하이닉스,2025-02-01,event_search,1,1,20.08,official_cheap_scan,2,0,1,0,1,0.0,20.08,0_to_1
003230,삼양식품,2025-02-01,event_search,1,2,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
257720,실리콘투,2025-02-01,event_search,0,3,0.0,official_cheap_scan,2,0,1,0,0,0.0,0.0,unchanged
012450,한화에어로스페이스,2025-02-01,event_search,1,4,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
062040,산일전기,2025-03-01,event_search,1,1,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-03-01,event_search,1,2,20.08,official_cheap_scan,3,0,0,0,1,0.0,20.08,0_to_1
003230,삼양식품,2025-03-01,event_search,1,3,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
257720,실리콘투,2025-03-01,event_search,0,4,0.0,official_cheap_scan,3,0,0,0,0,0.0,0.0,unchanged
012450,한화에어로스페이스,2025-03-01,event_search,1,5,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
062040,산일전기,2025-04-01,event_search,1,1,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-04-01,event_search,0,2,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
003230,삼양식품,2025-04-01,event_search,1,3,45.6775,official_cheap_scan,8,0,0,1,1,17.9275,45.6775,unchanged
257720,실리콘투,2025-04-01,event_search,0,4,0.0,official_cheap_scan,3,0,0,0,0,0.0,0.0,unchanged
012450,한화에어로스페이스,2025-04-01,event_search,1,5,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
000660,SK하이닉스,2025-05-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
012450,한화에어로스페이스,2025-05-01,event_search,1,2,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
062040,산일전기,2025-05-01,event_search,1,3,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-06-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
012450,한화에어로스페이스,2025-06-01,event_search,1,2,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
062040,산일전기,2025-06-01,event_search,1,3,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-07-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
012450,한화에어로스페이스,2025-07-01,event_search,1,2,32.6675,official_cheap_scan,8,0,0,1,1,29.6675,32.6675,unchanged
062040,산일전기,2025-07-01,event_search,1,3,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-08-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
062040,산일전기,2025-08-01,event_search,1,2,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-09-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
062040,산일전기,2025-09-01,event_search,1,2,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-10-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
062040,산일전기,2025-10-01,event_search,1,2,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-11-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
062040,산일전기,2025-11-01,event_search,1,2,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2025-12-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
062040,산일전기,2025-12-01,event_search,1,2,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2026-01-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
062040,산일전기,2026-01-01,event_search,1,2,40.1962,official_cheap_scan,8,0,0,1,1,19.1962,40.1962,unchanged
000660,SK하이닉스,2026-02-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
001440,대한전선-like,2026-02-01,event_search,1,2,0.0,official_cheap_scan,3,0,0,0,1,0.0,0.0,0_to_1
000660,SK하이닉스,2026-03-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
001440,대한전선-like,2026-03-01,event_search,1,2,0.0,official_cheap_scan,3,0,0,0,1,0.0,0.0,0_to_1
000660,SK하이닉스,2026-04-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
001440,대한전선-like,2026-04-01,event_search,1,2,0.0,official_cheap_scan,3,0,0,0,1,0.0,0.0,0_to_1
000660,SK하이닉스,2026-05-01,event_search,0,1,3.0,official_cheap_scan,3,0,0,0,0,0.0,3.0,unchanged
001440,대한전선-like,2026-05-01,event_search,1,2,0.0,official_cheap_scan,3,0,0,0,1,0.0,0.0,0_to_1
