case_id,target_id,symbol,company_name,market,case_type,canonical_archetype,posture,stage2_date,stage3_date,stage4b_date,stage4c_date,evidence_fields,red_flag_fields,alignment_hint,price_validation_status,production_input,notes
mp_materials_dod_apple_offtake_case,RARE_METALS_STRATEGIC_MATERIALS,MP,MP Materials 국방부·Apple offtake,US,success_candidate,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,,,,,government_investment|price_floor|offtake_contract|long_term_purchase|supply_chain_security,project_execution|policy_dependency|rare_earth_price_drop,structural_success_candidate,needs_source_date_and_price_backfill,false,"Rare-earth theme becomes higher quality when government investment, price floor, and long-term offtake are all present."
china_rare_earth_export_control_bottleneck_case,RARE_METALS_STRATEGIC_MATERIALS,RARE_EARTH_CONTROL_REF,중국 희토류 수출통제 병목,GLOBAL,event_premium,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,2026-05-13,,,,rare_earth_export_control|heavy_rare_earth_shortage|geopolitical_bottleneck,price_only_rally|no_production_capacity|policy_reversal,geopolitical_bottleneck_reference,missing_direct_symbol_mapping,false,"Export-control news routes research but cannot create company-level Green without production, offtake, and FCF."
korea_zinc_tender_event_premium_case,NONFERROUS_STRATEGIC_METALS,010130,Korea Zinc 공개매수 이벤트,KR,event_premium,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,2024-09-13,,,,tender_offer|governance_event|strategic_metal_exposure|event_day_price_reaction,event_premium|governance_dispute|fcf_not_verified,event_premium_governance_watch,needs_price_backfill,false,The price reaction should be separated from structural smelting/FCF rerating.
berkshire_japan_sogo_shosha_case,GENERAL_TRADING_RESOURCE_INFRA,JP_TRADING_HOUSES_REF,Berkshire 일본 5대 상사 투자,JP,structural_success,HOLDING_RESTRUCTURING_GOVERNANCE,WATCH_YELLOW_FIRST,2025-03-17,,,,resource_infra_fcf|capital_return|conglomerate_discount_rerating|buyback_dividend,commodity_cycle|fx_risk|complex_conglomerate_discount,structural_reference_case,needs_price_backfill,false,Trading houses can rerate when resource/infra FCF and capital allocation change the market frame.
posco_international_alaska_lng_20y_case,GENERAL_TRADING_RESOURCE_INFRA,047050,POSCO International Alaska LNG 20년 계약,KR,success_candidate,HOLDING_RESTRUCTURING_GOVERNANCE,WATCH_YELLOW_FIRST,2025-12-04,,,,twenty_year_lng_supply|project_stake|steel_supply|long_term_offtake,fid_pending|financing_risk|lng_price_risk|project_delay,watch_to_green_candidate,needs_price_backfill,false,"Long-term LNG contract plus project stake is stronger than spot-price exposure, but FID and margin remain gates."
barrick_record_gold_buyback_case,PRECIOUS_METALS_SAFE_HAVEN_MINERS,GOLD,Barrick record gold and buyback,US,cyclical_success,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,2026-05-11,,,,record_gold_price|realized_price|aisc_control|buyback_amount|net_income_growth,gold_price_correction|aisc_rise|mine_political_risk,cyclical_success_candidate,needs_price_backfill,false,"Gold price, cost control, and buyback can work, but this remains commodity/cycle until durability is proven."
sk_innovation_refining_recovery_watch,REFINING_OIL_SPREAD,096770,SK Innovation 정유 흑자전환,KR,cyclical_success,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,2026-05-13,,,,refining_op_improvement|earnings_beat|refining_recovery,recovery_delay_warning|refining_margin_reversal|inventory_loss,cyclical_recovery_candidate,needs_price_backfill,false,Strong profit is cycle/watch because the company warned recovery could take time.
lg_chem_lotte_chemical_oversupply_4c,CHEMICAL_SPREAD,KR_CHEMICALS_REF,LG Chem / Lotte Chemical 공급과잉,KR,4c_thesis_break,COMMODITY_SPREAD,REDTEAM_FIRST,,,,2025-02-07,chemical_spread_story,china_middle_east_capacity_glut|operating_loss|op_profit_collapse|spread_reversal,hard_counterexample_for_chemical_green,needs_price_backfill,false,Chemical Green is blocked when China/Middle East capacity and spread reversal crush OP/FCF.
baosteel_steel_oversupply_cost_cut_case,STEEL_METAL_SPREAD,BAOSTEEL_REF,Baosteel 철강 공급과잉·비용절감,CN,cyclical_success,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,2025-04-28,,,,cost_cut|q1_profit_increase|output_cut_expectation,overcapacity|weak_demand|chinese_exports_surge,cost_cut_cycle_success,missing_public_price_data,false,"Cost cuts and output cuts can lift price, but steel remains capped by Chinese supply/export pressure."
bhp_iron_ore_profit_dividend_cut_case,STEEL_METAL_SPREAD,BHP,BHP 철광석 이익·배당 축소,AU,4c_thesis_break,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,,,,2025-08-18,iron_ore_cycle|capital_return,iron_ore_price_drop|china_demand_slowdown|profit_low|dividend_cut,iron_ore_downcycle_4c,needs_price_backfill,false,"Commodity downturn can reduce both FCF and capital return, damaging the structural thesis."
lithium_price_86pct_crash_case,LITHIUM_BATTERY_RAW_MATERIAL,LITHIUM_CYCLE_REF,리튬 가격 86% 급락,GLOBAL,4c_thesis_break,BATTERY_MATERIALS_CAPEX_OVERHEAT,WATCH_YELLOW_FIRST,,,,2025-01-13,lithium_price_cycle|mine_shutdown,lithium_price_crash|mine_restart_supply_rebound|ev_demand_slowdown|capex_cut,lithium_4c_cycle,missing_price_data,false,Lithium price rebound is not structural when mine restarts can cap the cycle.
ds_smith_packaging_consolidation_case,PAPER_PACKAGING_CYCLE,DS_SMITH_REF,DS Smith 포장재 consolidation,EU,event_premium,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,2024-03-07,,,,packaging_consolidation|mna_premium|scale_economics_candidate,low_volume|price_pressure|mature_industry_limit|regulatory_divestiture,mature_consolidation_event_premium,missing_public_price_data,false,Packaging M&A premium must be separated from durable spread and cash-return evidence.
advanced_material_speculative_theme_counterexample,ADVANCED_MATERIAL_SPECULATIVE_THEME,ADV_MATERIAL_THEME_REF,초전도체·그래핀·맥신 테마 반례,GLOBAL,overheat,THEME_VALUATION_OVERHEAT,REDTEAM_FIRST,,,,,superconductor_graphene_mxene_theme|paper_or_lab_result,paper_only|no_revenue|no_commercialization|theme_only,price_moved_without_evidence,missing_price_data,false,Lab or paper narratives are not scoring evidence before commercialization and revenue.
chemical_spread_recovery_false_positive,CHEMICAL_SPREAD,CHEMICAL_SPREAD_REF,화학 spread 회복 오판 반례,KR,failed_rerating,COMMODITY_SPREAD,REDTEAM_FIRST,,,,,chemical_spread_recovery|product_price_rebound,china_middle_east_capacity_glut|spread_reversal|inventory_increase,false_positive_score_risk,missing_price_data,false,Product spread recovery should not become Green without supply-glut easing and durable FCF.
rare_metals_theme_price_only_4b_watch,RARE_METALS_STRATEGIC_MATERIALS,RARE_THEME_4B_REF,희토류 테마 price-only 4B-watch,GLOBAL,4b_watch,RARE_METALS_STRATEGIC_MATERIALS,WATCH_YELLOW_FIRST,,,,,rare_earth_export_control|price_only_rally,no_production_capacity|no_offtake|no_fcf|policy_reversal,rare_metals_4b_watch,missing_price_data,false,"Rare-earth headlines can create 4B-watch when price moves before production, offtake, and FCF."
