target_id,large_sector,canonical_archetype,posture,eps_fcf,structural_visibility,bottleneck_pricing,market_mispricing,valuation,capital_allocation,information_confidence,redteam_gate,stage1_signals,stage2_signals,stage3_conditions,stage4b_conditions,stage4c_conditions,green_conditions,red_flags,validation_role,hard_gate,stage3_green_allowed,production_scoring_changed,normalization_point
REDTEAM_ACCOUNTING_TRUST_OVERLAY,CROSS_ARCHETYPE_REDTEAM_VALIDATION,REDTEAM_ACCOUNTING_TRUST_OVERLAY,REDTEAM_FIRST,gate,gate,gate,hard-,hard-,gate,hard-,hard_block,auditor_resignation|filing_delay|internal_control_issue,restatement|related_party_risk|regulatory_probe,not_applicable_until_trust_restored,accounting_risk_ignored_during_rerating,auditor_resignation|filing_delay|restatement|probe_or_management_unreliable,,auditor_resignation|filing_delay|internal_control_issue|related_party_risk,Hard RedTeam gate for accounting/audit trust failures.,true,false,false,High score is invalid when accounting trust breaks.
FINANCIAL_REPORTING_INTEGRITY_RISK,CROSS_ARCHETYPE_REDTEAM_VALIDATION,FINANCIAL_REPORTING_INTEGRITY_RISK,REDTEAM_FIRST,gate,gate,gate,hard-,hard-,0,hard-,hard_block,late_filing|material_weakness|control_deficiency,restatement_risk|going_concern_warning|qualified_opinion,not_applicable_until_reporting_integrity_restored,reporting_delay_normalized_by_market,qualified_opinion|material_weakness|restatement|going_concern,,late_filing|material_weakness|restatement|qualified_opinion,Hard RedTeam gate for financial-reporting integrity.,true,false,false,Numbers cannot support Stage 3-Green if reporting integrity is broken.
PRICE_ONLY_RALLY,CROSS_ARCHETYPE_REDTEAM_VALIDATION,PRICE_ONLY_RALLY,REDTEAM_FIRST,0,0,0,-,-,0,-,green_block,price_spike|sns_theme|headline_without_numbers,no_eps_revision|no_contract_or_revenue|no_disclosure_support,not_green_without_eps_fcf_and_cross_evidence,price_only_4b_watch|retail_crowding,price_reversal|theme_fade|no_revenue_conversion,,no_eps_fcf|no_contract|no_revenue|theme_only,Green blocker for price-only moves.,false,false,false,"Price can route attention, but it is not structural evidence."
EVENT_PREMIUM,CROSS_ARCHETYPE_REDTEAM_VALIDATION,EVENT_PREMIUM,WATCH_YELLOW_FIRST,0,+,0,0,0,0,+,event_split,tender_offer|control_battle|policy_announcement|mou|disaster_or_disease_event,binding_contract|funded_budget|actual_order|guide_up,repeat_contract_or_revenue_plus_eps_fcf,event_premium_crowded|expected_deal_priced,event_fade|deal_failure|budget_missing|one_off_demand_normalization,binding_contract|actual_order|eps_fcf_conversion,mou_only|policy_only|event_only|deal_failure,Separates event premium from structural rerating.,false,false,false,"An event can become Stage 2 only when it converts into orders, budget, or earnings."
CYCLICAL_SUCCESS,CROSS_ARCHETYPE_REDTEAM_VALIDATION,CYCLICAL_SUCCESS,WATCH_YELLOW_FIRST,+,0,+,0,-,0,+,cycle_cap,freight_rate_spike|commodity_spread|refining_margin|livestock_price,op_eps_spike|cost_spread_confirmed|cash_generation,cycle_durability_and_supply_discipline_required,cycle_peak_crowded|spot_price_peak,spread_reversal|freight_rate_crash|inventory_build|capacity_addition,multi_period_margin_stability|supply_discipline,normalization_risk|new_supply|spot_price_reversal,Classifies valid cycle wins without calling them structural Green too early.,false,false,false,"Cycle success can be real, but Green needs durability beyond spot prices."
STRUCTURAL_SUCCESS_ALIGNED,CROSS_ARCHETYPE_REDTEAM_VALIDATION,STRUCTURAL_SUCCESS_ALIGNED,GREEN_POSSIBLE,+,+,+,+,+,+,+,pass_if_no_redteam,industry_structure_change|official_disclosure_or_report|price_attention,contract_order_revenue_or_revision|eps_fcf_bodyweight_change|cross_evidence,price_path_aligned|medium_term_eps_fcf_revision|valuation_frame_change|no_hard_redteam,crowded_new_frame|valuation_saturation|revision_slowdown,hard_redteam|thesis_break|eps_fcf_revision_down,eps_fcf_bodyweight_change|cross_evidence|price_path_aligned|no_hard_redteam,crowded_4b|valuation_saturation|revision_slowdown,Positive validation overlay for true structural rerating cases.,false,true,false,"High score survives only when evidence, price path, and RedTeam all align."
EVIDENCE_GOOD_BUT_PRICE_FAILED,CROSS_ARCHETYPE_REDTEAM_VALIDATION,EVIDENCE_GOOD_BUT_PRICE_FAILED,WATCH_YELLOW_FIRST,+,+,+,-,-,0,+,alignment_review,strong_disclosure|solid_report|eps_revision,no_rerating|price_underperforms_peer|liquidity_or_frame_stuck,requires_mispricing_diagnosis_not_green_promotion,market_frame_not_changed,evidence_not_monetized|valuation_frame_stuck|price_below_stage3,additional_price_or_revision_confirmation,price_failed|valuation_frame_stuck|liquidity_low,Autopsy bucket when evidence looked good but price never validated the thesis.,false,false,false,Useful for recalibrating market-mispricing and valuation scores.
FALSE_POSITIVE_SCORE,CROSS_ARCHETYPE_REDTEAM_VALIDATION,FALSE_POSITIVE_SCORE,REDTEAM_FIRST,-,-,-,-,-,0,-,score_recalibration,high_score_without_actual_evidence|proxy_score_overfit,earnings_miss|no_price_validation|redteam_ignored,not_applicable_until_score_axis_fixed,false_positive_crowding,price_failed|earnings_failed|audit_or_redteam_ignored,,score_overfit|no_eps_fcf|price_failed|redteam_ignored,Score calibration bucket for high-score failures.,false,false,false,Example: a candidate scores high from keywords but misses earnings and price validation.
CROWDED_RERATING_4B_WATCH,CROSS_ARCHETYPE_REDTEAM_VALIDATION,CROWDED_RERATING_4B_WATCH,WATCH_YELLOW_FIRST,+,+,0,-,-,0,+,stage4b_watch,large_12m_24m_return|universally_bullish_reports|target_multiple_expansion,valuation_band_saturated|revision_momentum_slowing|capacity_or_new_entrant_news,not_new_green_unlock,4b_watch|4b_elevated|4b_graduated,revision_down|demand_slowdown|capex_overbuild|margin_peak,fundamentals_intact_but_mispricing_reduced,crowding|valuation_saturation|revision_slowdown|capacity_addition,4B watch overlay for candidates whose fundamentals may remain intact but mispricing is gone.,false,false,false,"4B is monitoring language, not a new buy/sell instruction."
THESIS_BREAK_4C,CROSS_ARCHETYPE_REDTEAM_VALIDATION,THESIS_BREAK_4C,REDTEAM_FIRST,hard-,hard-,hard-,hard-,hard-,hard-,hard-,hard_downgrade,contract_cancellation|order_cut|regulatory_denial|demand_crash,eps_revision_down|margin_break|customer_capex_cut|depeg_or_reserve_failure,not_applicable_after_thesis_break,ignored_thesis_break,hard_4c|stage_downgrade|green_block,,contract_cancellation|order_cut|regulatory_denial|demand_crash|trust_break,Hard thesis-break overlay.,true,false,false,"When core evidence breaks, Stage must be downgraded rather than explained away."
LEGAL_REGULATORY_REDTEAM,CROSS_ARCHETYPE_REDTEAM_VALIDATION,LEGAL_REGULATORY_REDTEAM,REDTEAM_FIRST,gate,gate,0,-,-,0,-,hard_review,lawsuit|regulatory_probe|license_risk|approval_denial,fine_or_restriction|commercialization_blocked|export_approval_issue,not_green_until_legal_scope_resolved,legal_risk_ignored_by_rally,approval_denial|license_revocation|injunction|regulatory_sanction,,lawsuit|regulatory_probe|approval_denial|license_risk,Legal/regulatory RedTeam overlay.,true,false,false,Regulatory clearance and commercial scope must be verified before Green.
OPERATIONAL_TRUST_BREAK,CROSS_ARCHETYPE_REDTEAM_VALIDATION,OPERATIONAL_TRUST_BREAK,REDTEAM_FIRST,gate,gate,0,hard-,hard-,0,hard-,hard_review,security_outage|privacy_breach|customer_damage|platform_safety_incident,customer_lawsuit|renewal_risk|service_level_break,trust_restoration_and_retention_required,trust_break_ignored_by_growth_story,customer_churn|lawsuit_damage|renewal_decline|brand_trust_loss,,security_outage|privacy_breach|customer_lawsuit|operational_trust_damage,Operational trust-break overlay.,true,false,false,A growth story cannot stay Green if the product damages customers or trust.
LEVERAGE_FCF_BREAKDOWN,CROSS_ARCHETYPE_REDTEAM_VALIDATION,LEVERAGE_FCF_BREAKDOWN,REDTEAM_FIRST,hard-,-,0,-,-,hard-,-,green_block,negative_fcf|cash_runway_short|refinancing_need|high_debt_to_ebitda,dividend_cut|buyback_cancelled|distressed_financing|take_private_discount,not_green_without_fcf_and_balance_sheet_repair,growth_story_ignores_funding_need,cash_runway_collapse|going_concern|refinancing_failure|dilution,,negative_fcf|cash_runway|refinancing|dilution|dividend_cut,Leverage and FCF breakdown overlay.,true,false,false,"Approval, growth, or demand does not equal E2R if cash runway and FCF break."
UNKNOWN_INSUFFICIENT_EVIDENCE,CROSS_ARCHETYPE_REDTEAM_VALIDATION,UNKNOWN_INSUFFICIENT_EVIDENCE,REDTEAM_FIRST,0,0,0,0,0,0,0,green_block,undated_document|single_source_claim|missing_price_or_financials,evidence_gap|unverified_publish_date|missing_official_confirmation,not_green_until_evidence_gap_closed,unknown_story_priced_as_fact,missing_evidence|date_unverified|source_unverified,,missing_evidence|date_unverified|single_source|unknown,Explicit bucket for insufficient evidence.,false,false,false,Unknown is a valid output; do not fill missing evidence.
